Domain,Model_Type,Outcome,Model,N,N_Cases,N_Controls,AUC,AUC_CI_Lower,AUC_CI_Upper,AUC_Formatted,AUPRC,Sens_90Spec,Sens_95Spec,Sens_99Spec
AL-SIGHT,Unimodal,Glaucoma+Suspect vs Healthy,Fundus,974,136,838,0.6832795170574184,0.6010318829618115,0.7582072927803643,"0.683 (0.601, 0.758)",0.3095820403724465,0.2867647058823529,0.19117647058823528,0.10294117647058823
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle,974,136,838,0.8415169170293443,0.792041531397593,0.8829495818273607,"0.842 (0.792, 0.883)",0.5583511393814273,0.5882352941176471,0.47058823529411764,0.25735294117647056
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle+Fundus,974,136,838,0.8422978379896117,0.7827218290887067,0.8817380459644333,"0.842 (0.783, 0.882)",0.5484683190936488,0.5661764705882353,0.3602941176470588,0.22794117647058823
AL-SIGHT,Unimodal,Glaucoma vs Suspect+Healthy,Fundus,974,49,925,0.6925537782680634,0.5197083961796266,0.8550871465538998,"0.693 (0.520, 0.855)",0.20563572335285968,0.3877551020408163,0.2653061224489796,0.1836734693877551
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle,974,49,925,0.9137562051847714,0.8409214126142218,0.9761375935615565,"0.914 (0.841, 0.976)",0.46544774172788794,0.7346938775510204,0.6122448979591837,0.32653061224489793
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle+Fundus,974,49,925,0.9047324875896263,0.8229487697063478,0.971757221672894,"0.905 (0.823, 0.972)",0.4931966666028596,0.673469387755102,0.5510204081632653,0.42857142857142855
Hood,Unimodal,Glaucoma+Suspect vs Healthy,Fundus,630,233,397,0.8100236754197252,0.7762044214212385,0.8438429294182119,"0.810 (0.776, 0.844)",0.7266612781138455,0.45064377682403434,0.34763948497854075,0.17167381974248927
Hood,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle,630,233,397,0.9934919622490566,0.9891851837182825,0.9977987407798311,"0.993 (0.989, 0.998)",0.9876267030303447,0.9957081545064378,0.9785407725321889,0.8669527896995708
Hood,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle+Fundus,630,233,397,0.9945730316428983,0.9906632485485669,0.9984828147372353,"0.995 (0.991, 0.998)",0.9907624528725981,0.9914163090128756,0.9828326180257511,0.8583690987124464
