"Outcome","Model","N_Modalities","Threshold_Type","Threshold","TP","TN","FP","FN","Sensitivity","Specificity","PPV","NPV","Accuracy"
"Glaucoma+Suspect vs Healthy","RNFL+Circle",2,"Youden",0.367762744426727,318,1077,158,51,0.861788617886179,0.872064777327935,0.668067226890756,0.954787234042553,0.869700748129676
"Glaucoma+Suspect vs Healthy","RNFL+Circle",2,"90% Specificity",0.393713727593422,305,1112,123,64,0.826558265582656,0.900404858299595,0.712616822429907,0.945578231292517,0.883416458852868
"Glaucoma+Suspect vs Healthy","RNFL+Circle",2,"95% Specificity",0.48913337290287,266,1174,61,103,0.720867208672087,0.950607287449393,0.813455657492355,0.919342208300705,0.897755610972569
"Glaucoma+Suspect vs Healthy","RNFL+Circle",2,"99% Specificity",0.628672480583191,158,1224,11,211,0.428184281842818,0.991093117408907,0.93491124260355,0.852961672473868,0.861596009975062
"Glaucoma+Suspect vs Healthy","RNFL+Circle+Fundus",3,"Youden",0.311322331428528,325,1077,158,44,0.880758807588076,0.872064777327935,0.67287784679089,0.960749330954505,0.874064837905237
"Glaucoma+Suspect vs Healthy","RNFL+Circle+Fundus",3,"90% Specificity",0.332021564245224,310,1112,123,59,0.840108401084011,0.900404858299595,0.715935334872979,0.949615713065756,0.886533665835411
"Glaucoma+Suspect vs Healthy","RNFL+Circle+Fundus",3,"95% Specificity",0.388637959957123,270,1174,61,99,0.731707317073171,0.950607287449393,0.81570996978852,0.922230950510605,0.900249376558603
"Glaucoma+Suspect vs Healthy","RNFL+Circle+Fundus",3,"99% Specificity",0.504562467336655,163,1223,12,206,0.441734417344173,0.990283400809717,0.931428571428571,0.855843247025892,0.864089775561097
"Glaucoma vs Suspect+Healthy","RNFL+Circle",2,"Youden",0.372826218605041,43,734,191,6,0.877551020408163,0.793513513513514,0.183760683760684,0.991891891891892,0.797741273100616
"Glaucoma vs Suspect+Healthy","RNFL+Circle",2,"90% Specificity",0.487268790602684,36,834,91,13,0.73469387755102,0.901621621621622,0.283464566929134,0.984651711924439,0.893223819301848
"Glaucoma vs Suspect+Healthy","RNFL+Circle",2,"95% Specificity",0.554322570562363,30,879,46,19,0.612244897959184,0.95027027027027,0.394736842105263,0.978841870824053,0.933264887063655
"Glaucoma vs Suspect+Healthy","RNFL+Circle",2,"99% Specificity",0.683310300111771,16,916,9,33,0.326530612244898,0.99027027027027,0.64,0.96522655426765,0.956878850102669
"Glaucoma vs Suspect+Healthy","RNFL+Circle+Fundus",3,"Youden",0.268168076872826,47,638,287,2,0.959183673469388,0.68972972972973,0.140718562874251,0.996875,0.703285420944558
"Glaucoma vs Suspect+Healthy","RNFL+Circle+Fundus",3,"90% Specificity",0.389082670211792,33,833,92,16,0.673469387755102,0.90054054054054,0.264,0.981154299175501,0.88911704312115
"Glaucoma vs Suspect+Healthy","RNFL+Circle+Fundus",3,"95% Specificity",0.44999985396862,27,879,46,22,0.551020408163265,0.95027027027027,0.36986301369863,0.97558268590455,0.930184804928131
"Glaucoma vs Suspect+Healthy","RNFL+Circle+Fundus",3,"99% Specificity",0.534875929355621,21,916,9,28,0.428571428571429,0.99027027027027,0.7,0.970338983050847,0.962012320328542
