"Outcome","Model","N_Modalities","Domain","N","N_Cases","N_Controls","AUC","AUC_CI_Lower","AUC_CI_Upper","AUC_Formatted","AUPRC","Sens_90Spec","Sens_95Spec","Domain_Gap"
"Glaucoma+Suspect vs Healthy","RNFL+Circle",2,"AL-SIGHT",974,136,838,0.841516917029344,0.788621188128555,0.881596654140641,"0.842 (0.789, 0.882)",0.558,0.588,0.471,NA
"Glaucoma+Suspect vs Healthy","RNFL+Circle",2,"Hood",630,233,397,0.993491962249057,0.989185183718282,0.997798740779831,"0.993 (0.989, 0.998)",0.988,0.996,0.979,NA
"Glaucoma+Suspect vs Healthy","RNFL+Circle",2,"Overall",1604,369,1235,0.937583796890611,0.920370483628813,0.951312028383107,"0.938 (0.920, 0.951)",0.85,0.827,0.721,0.151975045219712
"Glaucoma+Suspect vs Healthy","RNFL+Circle+Fundus",3,"AL-SIGHT",974,136,838,0.842297837989612,0.787318418193018,0.88274976447692,"0.842 (0.787, 0.883)",0.548,0.566,0.36,NA
"Glaucoma+Suspect vs Healthy","RNFL+Circle+Fundus",3,"Hood",630,233,397,0.994573031642898,0.990663248548567,0.998482814737235,"0.995 (0.991, 0.998)",0.991,0.991,0.983,NA
"Glaucoma+Suspect vs Healthy","RNFL+Circle+Fundus",3,"Overall",1604,369,1235,0.939299781661794,0.918786185874867,0.954509225821313,"0.939 (0.919, 0.955)",0.856,0.84,0.732,0.152275193653287
"Glaucoma vs Suspect+Healthy","RNFL+Circle",2,"AL-SIGHT",974,49,925,0.913756205184771,0.842725948812806,0.974282410484304,"0.914 (0.843, 0.974)",0.465,0.735,0.612,NA
"Glaucoma vs Suspect+Healthy","RNFL+Circle",2,"Overall",974,49,925,0.913756205184771,0.817095423500484,0.976835948642087,"0.914 (0.817, 0.977)",0.465,0.735,0.612,NA
"Glaucoma vs Suspect+Healthy","RNFL+Circle+Fundus",3,"AL-SIGHT",974,49,925,0.904732487589626,0.828771054559724,0.973514869371741,"0.905 (0.829, 0.974)",0.493,0.673,0.551,NA
"Glaucoma vs Suspect+Healthy","RNFL+Circle+Fundus",3,"Overall",974,49,925,0.904732487589626,0.817486094224565,0.967618150163838,"0.905 (0.817, 0.968)",0.493,0.673,0.551,NA
