"Model","N_Modalities","Stratum","N","N_Cases","N_Controls","AUC","AUC_Formatted","AUPRC"
"RNFL+Circle",2,"Overall",1604,369,1235,0.937583796890611,"0.938 (0.920, 0.954)",0.85
"RNFL+Circle",2,"Male",561,109,452,0.944568482585046,"0.945 (0.920, 0.966)",0.834
"RNFL+Circle",2,"Female",939,156,783,0.903142089923698,"0.903 (0.872, 0.934)",0.712
"RNFL+Circle",2,"Age >= Median",804,293,511,0.923939541686983,"0.924 (0.898, 0.944)",0.89
"RNFL+Circle",2,"Age < Median",800,76,724,0.926940971212562,"0.927 (0.889, 0.957)",0.66
"RNFL+Circle",2,"White",585,48,537,0.803499379267535,"0.803 (0.706, 0.877)",0.37
"RNFL+Circle",2,"Black",456,85,371,0.885714285714285,"0.886 (0.838, 0.924)",0.678
"RNFL+Circle+Fundus",3,"Overall",1604,369,1235,0.939299781661794,"0.939 (0.923, 0.955)",0.856
"RNFL+Circle+Fundus",3,"Male",561,109,452,0.952788828448485,"0.953 (0.927, 0.973)",0.863
"RNFL+Circle+Fundus",3,"Female",939,156,783,0.901160886793073,"0.901 (0.866, 0.931)",0.705
"RNFL+Circle+Fundus",3,"Age >= Median",804,293,511,0.92884192809388,"0.929 (0.904, 0.949)",0.895
"RNFL+Circle+Fundus",3,"Age < Median",800,76,724,0.924432974701957,"0.924 (0.883, 0.957)",0.667
"RNFL+Circle+Fundus",3,"White",585,48,537,0.824410304158907,"0.824 (0.722, 0.894)",0.394
"RNFL+Circle+Fundus",3,"Black",456,85,371,0.874013001426985,"0.874 (0.816, 0.914)",0.645
